sx,sy
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
1820.0,540.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
100.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
960.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
1820.0,980.0
